,JID,Jurisdiction,Precinct,Precinct Description,Polling Place Name,Description,Address Line 1,Address Line 2,City,State,Zip,Accessible,lon,lat
1416,105,City of Chicago,1015,PRECINCT 10 WARD 15,BRIGHTON PK BRANCH LIBRARY,LIBRARY,4314 SARCHER AVE,-1,Chicago,-1.0,60632,Y,-87.70308159999999,41.8151228
1417,105,City of Chicago,1035,PRECINCT 10 WARD 35,CHRISTOPHER HOUSE,BUSINESS,3255 WALTGELD ST,-1,Chicago,-1.0,60647,Y,-87.7097592,41.92637879999999
1418,105,City of Chicago,1312,PRECINCT 13 WARD 12,DAISYS HAIR STUDIO,BUSINESS,4002 SARCHER AVE,-1,Chicago,-1.0,60632,N,-87.6931386,41.8211418
1419,105,City of Chicago,1539,PRECINCT 15 WARD 39,SAUGANASH SCHOOL,PUBLIC SCHOOL,6040 NKILPATRICK,-1,Chicago,-1.0,60646,Y,-87.7465663,41.9912474
1420,105,City of Chicago,1544,PRECINCT 15 WARD 44,BROADWAY UNITED METHODIST CHURCH,CHURCH,3338 NBROADWAY,-1,Chicago,-1.0,60657,Y,-87.64497140000002,41.9429581
1421,105,City of Chicago,1703,PRECINCT 17 WARD 3,THE SHELBY LUXURY APARTMENTS,APARTMENT BUILDING,2300 SMICHIGAN AVE,-1,Chicago,-1.0,60616,Y,-87.62424,41.8507662
1422,105,City of Chicago,1908,PRECINCT 19 WARD 8,JESSE OWENS PARK,PARK DISTRICT FIELD HOUSE,8800 SCLYDE AVE,-1,Chicago,-1.0,60617,Y,-87.5738263,41.73512179999999
1423,105,City of Chicago,2012,PRECINCT 20 WARD 12,ST PANCRATIUS,SCHOOL PRIVATE,2930 W40TH PL,-1,Chicago,-1.0,60632,N,-87.69825809999999,41.8202777
1424,105,City of Chicago,2208,PRECINCT 22 WARD 8,SCHMID SCHOOL,PUBLIC SCHOOL,9755 SGREENWOOD AVE,-1,Chicago,-1.0,60628,Y,-87.5966085,41.7171133
1425,105,City of Chicago,2209,PRECINCT 22 WARD 9,CULLEN SCHOOL,PUBLIC SCHOOL,10650 SEBERHART AVE,-1,Chicago,-1.0,60628,Y,-87.6116255,41.7002655
1426,105,City of Chicago,2224,PRECINCT 22 WARD 24,UNITED BAPTIST CHURCH,CHURCH,4220 WROOSEVELT RD,-1,Chicago,-1.0,60624,Y,-87.7310938,41.8662235
1427,105,City of Chicago,2234,PRECINCT 22 WARD 34,SOLOMONS UNIVERSAL TEMPLE OF PEACE,CHURCH,412 W107TH ST,-1,Chicago,-1.0,60628,Y,-87.6335393,41.7001543
1428,105,City of Chicago,2320,PRECINCT 23 WARD 20,ST EDMUNDS VILLAGE,APARTMENT BUILDING,6253 SMICHIGAN AVE,-1,Chicago,-1.0,60637,Y,-87.6216355,41.7805271
1429,105,City of Chicago,2607,PRECINCT 26 WARD 7,COLES SCHOOL,PUBLIC SCHOOL,8440 SPHILLIPS AVE,-1,Chicago,-1.0,60617,Y,-87.56512409999999,41.7417427
1430,105,City of Chicago,2613,PRECINCT 26 WARD 13,CENTRO CRISTIANO MIDWAY CHURCH,CHURCH,5830 W63RD ST,-1,Chicago,-1.0,60638,N,-87.76765449999999,41.7781848
1431,105,City of Chicago,2638,PRECINCT 26 WARD 38,MERRIMAC PARK,PARK DISTRICT FIELD HOUSE,6343 WIRVING PARK RD,-1,Chicago,-1.0,60634,Y,-87.7855563,41.95229399999999
1432,105,City of Chicago,2943,PRECINCT 29 WARD 43,CENACLE CONVENT,CHURCH,513 WFULLERTON PKWY,-1,Chicago,-1.0,60614,Y,-87.6421257,41.9248517
1433,105,City of Chicago,2950,PRECINCT 29 WARD 50,CLINTON SCHOOL,PUBLIC SCHOOL,6131 NCALIFORNIA AVE,-1,Chicago,-1.0,60659,Y,-87.6994788,41.9927362
1434,105,City of Chicago,3025,PRECINCT 30 WARD 25,MUJERES LATINAS EN ACCION,PUBLIC CENTER,2124 W21ST PL,-1,Chicago,-1.0,60608,Y,-87.6794403,41.8532869
1435,105,City of Chicago,3031,PRECINCT 30 WARD 31,EMPTY STORE FRONT,BUSINESS,2955 NCICERO AVE,-1,Chicago,-1.0,60641,N,-87.7464013,41.9349628
1436,105,City of Chicago,3129,PRECINCT 31 WARD 29,BETHESDA RETIREMENT CENTER,SENIOR RESIDENCE,2833 NNORDICA AVE,-1,Chicago,-1.0,60634,Y,-87.8020525,41.9321299
1437,105,City of Chicago,318,PRECINCT 3 WARD 18,ST PETER LUTHERAN CHURCH,CHURCH,8550 SKEDVALE AVE,-1,Chicago,-1.0,60652,Y,-87.7255213,41.7369742
1438,105,City of Chicago,3213,PRECINCT 32 WARD 13,KINZIE SCHOOL,PUBLIC SCHOOL,5625 SMOBILE AVE,-1,Chicago,-1.0,60638,Y,-87.7796384,41.79016740000001
1439,105,City of Chicago,3229,PRECINCT 32 WARD 29,DEVER SCHOOL,PUBLIC SCHOOL,3436 NOSCEOLA AVE,-1,Chicago,-1.0,60634,Y,-87.81359789999999,41.9425293
1440,105,City of Chicago,3304,PRECINCT 33 WARD 4,DREXEL SQUARE APTS,APARTMENT BUILDING,810 EHYDE PARK BV,-1,Chicago,-1.0,60615,Y,-87.605874,41.8026246
1441,105,City of Chicago,3306,PRECINCT 33 WARD 6,SALEM LUTHERAN CHURCH,CHURCH,318 E74TH ST,-1,Chicago,-1.0,60619,N,-87.6172881,41.7603945
1442,105,City of Chicago,3404,PRECINCT 34 WARD 4,KING COLLEGE PREP,PUBLIC SCHOOL,4445 SDREXEL BV,-1,Chicago,-1.0,60615,Y,-87.6027668,41.8138914
1443,105,City of Chicago,3405,PRECINCT 34 WARD 5,THE CLOISTERS,APARTMENT BUILDING,5801 SDORCHESTER AVE,-1,Chicago,-1.0,60637,Y,-87.5909875,41.7895307
1444,105,City of Chicago,3444,PRECINCT 34 WARD 44,HATTIE CALLNER APARTMENTS,CHA - SENIOR,855 WALDINE AVE,-1,Chicago,-1.0,60657,Y,-87.6514303,41.9415036
1445,105,City of Chicago,3523,PRECINCT 35 WARD 23,ST RENE CHURCH,CHURCH,6340 SNEW ENGLAND AVE,-1,Chicago,-1.0,60638,N,-87.7940474,41.7763449
1446,105,City of Chicago,3628,PRECINCT 36 WARD 28,KING DAVID MISSIONARY BAPTIST CH,CHURCH,3322 WGLADYS AVE,-1,Chicago,-1.0,60624,Y,-87.7093799,41.87649330000001
1447,105,City of Chicago,3743,PRECINCT 37 WARD 43,CHURCH OF OUR SAVIOUR,CHURCH,530 WFULLERTON AVE,-1,Chicago,-1.0,60614,N,-87.6425325,41.9258275
1448,105,City of Chicago,3943,PRECINCT 39 WARD 43,LINCOLN PK BR LIBRARY,LIBRARY,1150 WFULLERTON AVE,-1,Chicago,-1.0,60614,Y,-87.6581886,41.9255299
1449,105,City of Chicago,4506,PRECINCT 45 WARD 6,DIXON SCHOOL,PUBLIC SCHOOL,8306 SST LAWRENCE AVE,-1,Chicago,-1.0,60619,Y,-87.8664965,41.9657847
1450,105,City of Chicago,4647,PRECINCT 46 WARD 47,BELL SCHOOL,PUBLIC SCHOOL,3730 NOAKLEY AVE,-1,Chicago,-1.0,60618,Y,-87.6867077,41.9493524
1451,105,City of Chicago,508,PRECINCT 5 WARD 8,BLACK SCHOOL,PUBLIC SCHOOL,9101 SEUCLID AVE,-1,Chicago,-1.0,60617,N,-87.5764384,41.7293597
1452,105,City of Chicago,519,PRECINCT 5 WARD 19,BETHLEHEM EVAN LUTH CHURCH,CHURCH,9401 SOAKLEY AVE,-1,Chicago,-1.0,60643,N,-87.6791612,41.7226004
1453,105,City of Chicago,619,PRECINCT 6 WARD 19,KELLER REGIONAL GIFTED CTR,PUBLIC SCHOOL,3020 W108TH ST,-1,Chicago,-1.0,60655,Y,-87.6969248,41.6974527
1454,105,City of Chicago,912,PRECINCT 9 WARD 12,THE TRUTH THAT SETS YOU FREE CHURCH,CHURCH,3334 SPAULINA ST,-1,Chicago,-1.0,60608,N,-87.6681794,41.8330303
1455,105,City of Chicago,110,PRECINCT 1 WARD 10,VILLLA GUADALUPE SENIOR SERVICES,SENIOR RESIDENCE,3201 E91ST ST,-1,Chicago,-1.0,60617,Y,-87.54647990000001,41.72982409999999
1456,105,City of Chicago,1131,PRECINCT 11 WARD 31,ST BARTHOLOMEW CHURCH,CHURCH,4950 WADDISON ST,-1,Chicago,-1.0,60641,Y,-87.7517167,41.9463701
