JID,Jurisdiction,Precinct,Precinct Description,Polling Place Name,Description,Address Line 1,Address Line 2,City,State,Zip,Accessible
102,Woodford County,1302,CRUGER 2,TOWN HALL,TOWN HALL,914 COUNTYHIGHWAY 3,"EUREKA, IL 61530",(ACCROSS FROM ELEVATOR),,,Y
102,Woodford County,901,METAMORA 1,VILLAGE HALL,VILLAGE HALL,100 N. DAVENPORT,"METAMORA, IL 61548",(CORNER OF 116/DAVENPORT),,,Y
102,Woodford County,807,WORTH 7,MT ALVERNO NOVITIATE,MT. ALVERNO NOVITIATE,1175 ST. FRANCES LANE,"EAST PEORIA, IL 61611",(MOTHERHOUSE),,,Y
102,Woodford County,808,WORTH 8,MT ALVERNO NOVITIATE,MT. ALVERNO NOVITIATE,1175 ST. FRANCES LANE,"EAST PEORIA, IL 61611",(MOTHERHOUSE),,,Y
48,Knox County,101,INDIAN POINT FIRST,ABINGDON-AVON HIGH SCHOOL,WEIGHT ROOM,600 W. MARTIN STREET,,ABINGDON,,61410,Y
48,Knox County,102,INDIAN POINT SECOND,ABINGDON-AVON HIGH SCHOOL,WEIGHT ROOM,600 W. MARTIN STREET,,ABINGDON,,61410,Y
48,Knox County,201,CEDAR FIRST,ABINGDON POLICE STATION,LOBBY AREA,105 N. MAIN STREET,,ABINGDON,,61410,Y
48,Knox County,202,CEDAR SECOND,CEDAR TOWNSHIP BUILDING,,1ST & FRONT ST,,ABINGDON,,61410,Y
48,Knox County,204,CEDAR FOURTH,ABINGDON CITY HALL,,114 E MEEK ST,,ABINGDON,,61410,Y
62,McDonough County,1401,NEW SALEM,TOWN HALL,,416 MAPLE ST.,,ADAIR IL,,61411,Y
22,DuPage County,20031,Bloomingdale 031,Addison Centennial Park,Park District Facility,1776 Centennial Dr,,Addison,,60101,Y
22,DuPage County,20085,Bloomingdale 085,Addison Centennial Park,Park District Facility,1776 Centennial Dr,,Addison,,60101,Y
22,DuPage County,30002,Addison 002,Addison Park Dist Rec Center,Park District Facility,120 E Oak St,,Addison,,60101,Y
22,DuPage County,30007,Addison 007,Addison Park Dist Rec Center,Park District Facility,120 E Oak St,,Addison,,60101,Y
22,DuPage County,30011,Addison 011,St Joseph Parish,Church Facility,330 E Fullerton Ave,,Addison,,60101,Y
22,DuPage County,30018,Addison 018,Addison Links & Tees Golf Facility,Park District Facility,950 W Lake St,,Addison,,60101,Y
22,DuPage County,30024,Addison 024,Prince of Peace Lutheran Church,Church Facility,1213 W Army Trail Blvd,,Addison,,60101,Y
22,DuPage County,30027,Addison 027,Addison Village Hall,City/Village Facility,1 Friendship Plz,,Addison,,60101,Y
22,DuPage County,30034,Addison 034,St Joseph Parish,Church Facility,330 E Fullerton Ave,,Addison,,60101,Y
22,DuPage County,30035,Addison 035,St Joseph Parish,Church Facility,330 E Fullerton Ave,,Addison,,60101,Y
22,DuPage County,30036,Addison 036,Addison Park Dist Rec Center,Park District Facility,120 E Oak St,,Addison,,60101,Y
22,DuPage County,30037,Addison 037,Army Trail School,School,346 W Army Trail Blvd,,Addison,,60101,Y
22,DuPage County,30041,Addison 041,Army Trail School,School,346 W Army Trail Blvd,,Addison,,60101,Y
22,DuPage County,30042,Addison 042,Addison Centennial Park,Park District Facility,1776 Centennial Dr,,Addison,,60101,Y
22,DuPage County,30047,Addison 047,Army Trail School,School,346 W Army Trail Blvd,,Addison,,60101,Y
22,DuPage County,30048,Addison 048,Addison Village Hall,City/Village Facility,1 Friendship Plz,,Addison,,60101,Y
22,DuPage County,30049,Addison 049,Army Trail School,School,346 W Army Trail Blvd,,Addison,,60101,Y
22,DuPage County,30051,Addison 051,Addison Links & Tees Golf Facility,Park District Facility,950 W Lake St,,Addison,,60101,Y
